Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Desenvolvedor Sênior (com foco em IA e Automação),Gearbank,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/desenvolvedor-s%C3%AAnior-com-foco-em-ia-e-automa%C3%A7%C3%A3o-at-gearbank-4324731037?position=29&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=5Dr0KLwHrd5TXkYbc1vj9w%3D%3D
Analista de qualidade sênior,G4F,"Mato Grosso, Brasil",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-qualidade-s%C3%AAnior-at-g4f-4318387631?position=30&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=bHPOUVlJ9GrM1Zwunv5gIA%3D%3D
Estagiário de (COE) Centro de Excelência,FS Fueling Sustainability,"São Paulo, Brasil",Há 3 dias,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-coe-centro-de-excel%C3%AAncia-at-fs-fueling-sustainability-4318409080?position=31&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=knRoW%2Bjs94GkSlB34m9kmg%3D%3D
Analista em Finanças | Gerencial Digital,BTG Pactual,"São Paulo, SP",Há 5 dias,https://br.linkedin.com/jobs/view/analista-em-finan%C3%A7as-gerencial-digital-at-btg-pactual-4252872915?position=32&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=0a1IFuPRwXHv5mVO5F7cmQ%3D%3D
462025 - BOLSISTA,Sistema FIERGS,"São Leopoldo, RS",Há 6 dias,https://br.linkedin.com/jobs/view/462025-bolsista-at-fiergs-4331309152?position=33&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=9gX%2BOkWiOIxqbyqC8%2FfM3w%3D%3D
Analista de Data Analytics Pleno,Banco Daycoval,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/analista-de-data-analytics-pleno-at-banco-daycoval-4318095676?position=34&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=q2VpklJPLr0%2Fl%2F%2Bc7hHquA%3D%3D
Especialista em Inteligência Comercial,Qive,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/especialista-em-intelig%C3%AAncia-comercial-at-qive-4319590077?position=35&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=thKc03VL%2BylLZB4QORGa8g%3D%3D
Engenheiro (a) de Produto Sr.,Scania Latin America,"São Bernardo do Campo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/engenheiro-a-de-produto-sr-at-scania-latin-america-4318348863?position=36&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=pnp%2BJwuegWEgWsrzUxf6eg%3D%3D
Analista de BI Pleno,iK,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-bi-pleno-at-ik-4323974070?position=37&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=UlOM3LuQXz4VqFg348ANLQ%3D%3D
Desenvolvedor Python,SIS Innov & Tech,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/desenvolvedor-python-at-sis-innov-tech-4331196234?position=38&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=6RrHVajJl0edG2NjKFKFzA%3D%3D
